ParticipantID,VOICE_NUMBER,VOICE_TYPE,HEALTH,ATTRACTIVENESS
83,4,1,4.75,6.5
83,5,1,6,6.5
83,6,1,6,6.5
83,7,1,5.25,7.5
83,8,1,6,6
83,9,1,4,7
83,10,2,4.5,.285714285714286
83,11,2,5.25,7
83,12,2,5.75,6.5
83,13,2,4,4.5
83,14,2,4.25,7.5
83,15,2,3.5,4.5
83,16,2,3.5,4.5
83,17,2,5.75,5.5
83,18,2,4.75,6
83,19,2,4.5,5.5
83,20,1,4.75,.357142857142857
95,1,1,7.75,5.5
95,2,1,8.25,2
95,3,1,8,7.5
95,4,1,8,6
95,5,1,6,3.5
95,6,1,6,3.5
95,7,1,7.75,3
95,8,1,7.75,6.5
95,9,1,8,4.5
95,10,2,6.5,.428571428571429
95,11,2,7,2.5
95,12,2,7.75,5.5
95,13,2,7.25,5.5
95,14,2,8,3
95,15,2,8,5
95,16,2,8,5
95,17,2,7.75,5.5
95,18,2,8,6
95,19,2,7.25,6.5
95,20,1,8,.30952380952381
129,1,1,6.75,5
129,2,1,4.5,5.5
129,3,1,4.25,4
129,4,1,6,5
129,5,1,5,4
129,6,1,5,4
129,7,1,4.5,3
129,8,1,5.25,3
129,9,1,5.25,2.5
129,10,2,4.75,.119047619047619
129,11,2,5,5.5
129,12,2,5,3
129,13,2,5.75,2.5
129,14,2,7,3
129,15,2,5.25,3
129,16,2,5.25,3
129,17,2,5,2.5
129,18,2,4.5,2.5
129,19,2,4.5,3.5
129,20,1,4.75,.333333333333333
56,1,1,5.5,7.5
56,2,1,7,7.5
56,3,1,6.75,7.5
56,4,1,6.25,7
56,5,1,6,8
56,6,1,6,8
56,7,1,5,8
56,8,1,7.25,5.5
56,9,1,4,8.5
56,10,2,4.75,.380952380952381
56,11,2,6.5,7
56,12,2,3.75,7.5
56,13,2,8,4
56,14,2,4.5,8
56,15,2,5.75,5
56,16,2,5.75,5
56,17,2,7.5,6.5
56,18,2,7.25,8
56,19,2,6.75,8
56,20,1,3.5,.357142857142857
61,1,1,7,6.5
61,2,1,5,5.5
61,3,1,5,3
61,4,1,4.25,4
61,5,1,4.75,8
61,6,1,4.75,8
61,7,1,5,5
61,8,1,3.75,5.5
61,9,1,3.75,5
61,10,2,3.25,.166666666666667
61,11,2,4,5
61,12,2,5.5,8
61,13,2,5.5,7
61,14,2,5,7.5
61,15,2,5.5,5
61,16,2,5.5,5
61,17,2,4,5.5
61,18,2,5.25,5.5
61,19,2,4.75,8
61,20,1,6.25,.238095238095238
85,1,1,7.25,5.5
85,2,1,3,2.5
85,3,1,4.25,1
85,4,1,7,5.5
85,5,1,8,7.5
85,6,1,8,7.5
85,7,1,6.5,3.5
85,8,1,5,2
85,9,1,8.5,4
85,10,2,8.25,.214285714285714
85,11,2,4,1
85,12,2,5.5,3.5
85,13,2,3,2.5
85,14,2,5.5,2.5
85,15,2,1.5,1
85,16,2,1.5,1
85,17,2,2.5,3
85,18,2,7.75,4
85,19,2,4.75,7
85,20,1,6.5,.0476190476190476
98,1,1,5.5,6
98,2,1,5,3
98,3,1,5.25,6.5
98,4,1,7,8.5
98,5,1,7.5,6.5
98,6,1,7.5,6.5
98,7,1,7,6
98,8,1,5,6.5
98,9,1,3.75,6
98,10,2,3,.214285714285714
98,11,2,6.5,8
98,12,2,4.5,2.5
98,13,2,8,8
98,14,2,6.5,7
98,15,2,5.5,4.5
98,16,2,5.5,4.5
98,17,2,8,7.5
98,18,2,4.25,4.5
98,19,2,4,5
98,20,1,5.5,.19047619047619
115,1,1,5.5,7
115,2,1,4.75,6.5
115,3,1,5.5,7
115,4,1,5.5,5.5
115,5,1,6,6
115,6,1,6,6
115,7,1,6,4.5
115,8,1,6.25,7
115,9,1,5.25,6.5
115,10,2,4.5,.404761904761905
115,11,2,5.5,6.5
115,12,2,5.5,6
115,13,2,4,4.5
115,14,2,5,7
115,15,2,3.25,5
115,16,2,3.25,5
115,17,2,6,3.5
115,18,2,4.25,5
115,19,2,4.25,5
115,20,1,4,.261904761904762
121,1,1,6.75,7.5
121,2,1,4.75,1.5
121,3,1,7,4
121,4,1,7,7.5
121,5,1,7.75,7
121,6,1,7.75,7
121,7,1,4,4
121,8,1,5.5,7.5
121,9,1,5,3.5
121,10,2,7.25,.333333333333333
121,11,2,4.75,4.5
121,12,2,3,2
121,13,2,6.5,7
121,14,2,4.25,7
121,15,2,1.75,3
121,16,2,1.75,3
121,17,2,3.5,3
121,18,2,4.75,4
121,19,2,3,6
121,20,1,4.5,.19047619047619
9,1,1,5,7
